ID,OFFER_ID,TYPE,AMOUNT,CREATED_AT,UPDATED_AT
805230,768426,OfferReward::Poll,0.75,2021-03-24 21:24:48.000,2021-03-24 21:24:48.000
805229,768425,OfferReward::Poll,0.75,2021-03-24 21:24:47.000,2021-03-24 21:24:47.000
805228,768424,OfferReward::Poll,0.75,2021-03-24 21:24:47.000,2021-03-24 21:24:47.000
805227,768423,OfferReward::Poll,0.75,2021-03-24 21:24:20.000,2021-03-24 21:24:20.000
805226,768422,OfferReward::Poll,0.75,2021-03-24 21:24:19.000,2021-03-24 21:24:19.000
805225,768421,OfferReward::Poll,0.75,2021-03-24 21:24:19.000,2021-03-24 21:24:19.000
805224,768420,OfferReward::Poll,0.75,2021-03-24 21:24:19.000,2021-03-24 21:24:19.000
805223,768419,OfferReward::Fact,2,2021-03-24 21:22:24.000,2021-03-24 21:22:24.000
805222,768418,OfferReward::ShopNow,0,2021-03-24 21:21:50.000,2021-03-24 21:21:50.000
805221,768417,OfferReward::Fact,2.5,2021-03-24 21:21:25.000,2021-03-24 21:30:02.000
805220,768416,OfferReward::Fact,0.75,2021-03-24 21:21:11.000,2021-03-24 21:21:11.000
805219,768415,OfferReward::Fact,0.75,2021-03-24 21:21:11.000,2021-03-24 21:21:11.000
805218,768414,OfferReward::Fact,0.75,2021-03-24 21:21:10.000,2021-03-24 21:21:10.000
805217,768413,OfferReward::Fact,0.75,2021-03-24 21:21:10.000,2021-03-24 21:21:10.000
805215,768412,OfferReward::Fact,2,2021-03-24 21:19:04.000,2021-03-24 21:23:46.000
805214,768411,OfferReward::Fact,1,2021-03-24 21:18:51.000,2021-03-24 21:18:51.000
805213,768410,OfferReward::Fact,1,2021-03-24 21:18:50.000,2021-03-24 21:18:50.000
805212,768409,OfferReward::Fact,1,2021-03-24 21:18:50.000,2021-03-24 21:18:50.000
805211,768408,OfferReward::Fact,1,2021-03-24 21:18:49.000,2021-03-24 21:18:49.000
805216,768407,OfferReward::Fact,1.5,2021-03-24 21:20:25.000,2021-03-24 21:20:25.000
805210,768406,OfferReward::Fact,1,2021-03-24 21:14:46.000,2021-03-24 21:14:46.000
805209,768405,OfferReward::Fact,1,2021-03-24 21:14:45.000,2021-03-24 21:14:45.000
805208,768404,OfferReward::Fact,1,2021-03-24 21:14:45.000,2021-03-24 21:14:45.000
805207,768403,OfferReward::Fact,1,2021-03-24 21:14:45.000,2021-03-24 21:14:45.000
805206,768402,OfferReward::Video,0.1000000015,2021-03-24 21:13:21.000,2021-03-24 21:13:21.000
805205,768401,OfferReward::Fact,2,2021-03-24 21:11:01.000,2021-03-24 21:11:01.000
805204,768400,OfferReward::Fact,2,2021-03-24 21:11:00.000,2021-03-24 21:11:00.000
805203,768399,OfferReward::Fact,2,2021-03-24 21:11:00.000,2021-03-24 21:11:00.000
805202,768398,OfferReward::Fact,2,2021-03-24 21:11:00.000,2021-03-24 21:11:00.000
805201,768397,OfferReward::Video,0.1000000015,2021-03-24 21:10:27.000,2021-03-24 21:10:27.000
805200,768396,OfferReward::Video,0.1000000015,2021-03-24 21:07:33.000,2021-03-24 21:07:33.000
805199,768395,OfferReward::Fact,2.25,2021-03-24 21:07:12.000,2021-03-24 21:07:12.000
805198,768394,OfferReward::Video,0.1000000015,2021-03-24 21:06:27.000,2021-03-24 21:06:27.000
805197,768393,OfferReward::Video,0.1000000015,2021-03-24 21:05:47.000,2021-03-24 21:05:47.000
805196,768392,OfferReward::Video,0.1000000015,2021-03-24 21:05:08.000,2021-03-24 21:05:08.000
805195,768391,OfferReward::Video,0.1000000015,2021-03-24 21:04:22.000,2021-03-24 21:04:22.000
805194,768390,OfferReward::Video,0.1000000015,2021-03-24 21:04:17.000,2021-03-24 21:04:17.000
805193,768389,OfferReward::Instant,2,2021-03-24 21:02:06.000,2021-03-24 21:02:06.000
805192,768388,OfferReward::Instant,2,2021-03-24 21:02:06.000,2021-03-24 21:02:06.000
805191,768387,OfferReward::Instant,2,2021-03-24 21:02:05.000,2021-03-24 21:02:05.000
805190,768386,OfferReward::Instant,2,2021-03-24 21:02:05.000,2021-03-24 21:02:05.000
805189,768385,OfferReward::Instant,1.5,2021-03-24 21:01:59.000,2021-03-24 21:01:59.000
